latent_one_step_position_r2,latent_one_step_velocity_r2,latent_probe_one_step_position_aee,latent_probe_one_step_position_r2,latent_probe_one_step_velocity_aee,latent_probe_one_step_velocity_r2,latent_probe_rollout_position_aee,latent_probe_rollout_velocity_aee,latent_rollout_position_aee,latent_rollout_velocity_aee,model_run,model_type,one_step_position_aee,one_step_position_failures,one_step_position_r2,one_step_velocity_aee,one_step_velocity_failures,one_step_velocity_r2,rollout_position_aee,rollout_position_failures,rollout_position_r2,rollout_velocity_aee,rollout_velocity_failures,rollout_velocity_r2,shift,split,state_head_one_step_position_aee,state_head_one_step_position_r2,state_head_one_step_velocity_aee,state_head_one_step_velocity_r2,state_head_rollout_position_aee,state_head_rollout_velocity_aee,test_gravity,train_gravity
0.9775643944740295,0.8760923147201538,,,,,,,14.179673194885254,2.790764808654785,recurrent_neg1,recurrent,0.4928133189678192,0,,0.7441283464431763,0,,7.088770389556885,0,,2.9500997066497803,0,,ID,test_id,,,,,,,-1.0,-1.0
0.9439984560012817,0.7396997213363647,,,,,,,34.827911376953125,6.654657363891602,recurrent_neg1,recurrent,1.9278217554092407,0,,1.5896722078323364,0,,18.856325149536133,0,,7.088001728057861,0,,OOD gravity,test_ood_gravity,,,,,,,-3.0,-1.0
0.9581528902053833,0.5139803886413574,,,,,,,30.15113067626953,9.927716255187988,recurrent_neg3,recurrent,2.3976829051971436,0,,1.3562124967575073,0,,16.207395553588867,0,,7.947978973388672,0,,OOD gravity,test_id,,,,,,,-1.0,-3.0
0.9751064777374268,0.8433438539505005,,,,,,,51.99020767211914,16.529098510742188,recurrent_neg3,recurrent,0.6296115517616272,0,,0.8832294940948486,0,,13.951189994812012,0,,6.572750091552734,0,,ID,test_ood_gravity,,,,,,,-3.0,-3.0
,,,,,,,,,,state_mlp_neg1,state_mlp,0.40012219548225403,,0.9998214244842529,0.49677157402038574,,0.9420435428619385,4.128407001495361,,0.9543284177780151,1.5865808725357056,,0.7166150808334351,ID,test_id,,,,,,,-1.0,-1.0
,,,,,,,,,,state_mlp_neg1,state_mlp,1.723970651626587,,0.9902985095977783,2.0204293727874756,,0.8237619400024414,9.20722770690918,,0.5075758099555969,3.732720375061035,,0.4800368547439575,OOD gravity,test_ood_gravity,,,,,,,-3.0,-1.0
,,,,,,,,,,state_mlp_neg3,state_mlp,1.4536268711090088,,0.9971380233764648,1.2373961210250854,,0.8882536888122559,8.550049781799316,,0.7757909893989563,3.209547996520996,,0.31522655487060547,OOD gravity,test_id,,,,,,,-1.0,-3.0
,,,,,,,,,,state_mlp_neg3,state_mlp,0.5073802471160889,,0.9994801878929138,0.7483388185501099,,0.9388923048973083,4.277978420257568,,0.9434190988540649,2.1762781143188477,,0.6765042543411255,ID,test_ood_gravity,,,,,,,-3.0,-3.0
,,1.9636151790618896,0.9963167309761047,0.7511312961578369,0.9302403926849365,14.99612045288086,2.6614484786987305,,,latent_flow_neg1_genloss,latent_flow,1.110689640045166,0,,1.110689640045166,0,,12.273621559143066,0,,3.7319583892822266,0,,ID,test_id,0.6180586218833923,0.9996112585067749,0.4635634422302246,0.961688756942749,11.714834213256836,2.538160562515259,-1.0,-1.0
,,4.15781307220459,0.9604342579841614,2.791124105453491,0.7481893301010132,22.837331771850586,5.354389667510986,,,latent_flow_neg1_genloss,latent_flow,2.3505609035491943,0,,2.3505609035491943,0,,20.399728775024414,0,,5.996052265167236,0,,OOD gravity,test_ood_gravity,2.2227537631988525,0.98148512840271,2.634000778198242,0.8303669691085815,19.96873664855957,5.163710594177246,-3.0,-1.0
,,5.282626152038574,0.9678198099136353,3.5495495796203613,0.40226203203201294,18.825159072875977,6.101772308349609,,,latent_flow_neg3_genloss,latent_flow,2.0889194011688232,0,,2.0889194011688232,0,,17.716705322265625,0,,5.40899658203125,0,,OOD gravity,test_id,2.780536413192749,0.9883731603622437,2.8951570987701416,0.6528677344322205,17.63516616821289,5.9640212059021,-1.0,-3.0
,,2.5925872325897217,0.9917791485786438,1.7953675985336304,0.87216717004776,15.484833717346191,4.266677379608154,,,latent_flow_neg3_genloss,latent_flow,1.1484743356704712,0,,1.1484743356704712,0,,14.233656883239746,0,,4.596522331237793,0,,ID,test_ood_gravity,0.7682894468307495,0.9991832971572876,0.8686034679412842,0.9504119753837585,13.509443283081055,3.9258551597595215,-3.0,-3.0
